policy,es,alpha,energy,deadline_d,mean_aaoi,std_aaoi,tx_rate
TTRQ,0.10,0.60,1.0000,3,6.5102,0.0583,0.1872
TTRQ,0.20,0.60,1.0000,3,5.9039,0.0937,0.2436
TTRQ,0.30,0.60,1.0000,3,5.5645,0.1507,0.3014
TTRQ,0.40,0.60,1.0000,3,5.1756,0.0443,0.3886
TTRQ,0.50,0.60,1.0000,3,5.0022,0.0276,0.4683
TTRQ,0.60,0.60,1.0000,3,4.8355,0.0113,0.5738
TTRQ,0.70,0.60,1.0000,3,4.7642,0.0216,0.6832
TTRQ,0.80,0.60,1.0000,3,4.7672,0.0223,0.6891
TTRQ,0.90,0.60,1.0000,3,4.7663,0.0291,0.6925
