policy,es,alpha,energy,deadline_d,mean_aaoi,std_aaoi,tx_rate
ARQ,0.10,0.30,1.0000,3,8.9313,0.0000,0.1000
ARQ,0.20,0.30,1.0000,3,8.5364,0.0000,0.2000
ARQ,0.30,0.30,1.0000,3,8.4978,0.0000,0.3000
ARQ,0.40,0.30,1.0000,3,8.4978,0.0000,0.4000
ARQ,0.50,0.30,1.0000,3,8.4978,0.0000,0.5000
ARQ,0.60,0.30,1.0000,3,8.4978,0.0000,0.6000
ARQ,0.70,0.30,1.0000,3,8.4978,0.0000,0.6946
ARQ,0.80,0.30,1.0000,3,8.4978,0.0000,0.6946
ARQ,0.90,0.30,1.0000,3,8.4978,0.0000,0.6946
