policy,alpha,es,energy,deadline_d,mean_aaoi,std_aaoi,tx_rate
HARQ,0.60,0.60,1.0000,0,7.5536,0.0000,0.6000
HARQ,0.60,0.60,1.0000,1,6.3139,0.0000,0.6000
HARQ,0.60,0.60,1.0000,2,5.6805,0.0000,0.6000
HARQ,0.60,0.60,1.0000,3,5.6671,0.0000,0.6000
HARQ,0.60,0.60,1.0000,4,5.6638,0.0000,0.6000
HARQ,0.60,0.60,1.0000,5,5.6623,0.0000,0.6000
