policy,alpha,es,energy,deadline_d,mean_aaoi,std_aaoi,tx_rate
ARQ,0.10,0.30,1.0000,3,11.1600,0.0000,0.3000
ARQ,0.20,0.30,1.0000,3,9.3882,0.0000,0.3000
ARQ,0.30,0.30,1.0000,3,8.4978,0.0000,0.3000
ARQ,0.40,0.30,1.0000,3,8.0053,0.0000,0.3000
ARQ,0.50,0.30,1.0000,3,7.7546,0.0000,0.3000
ARQ,0.60,0.30,1.0000,3,7.6285,0.0000,0.3000
ARQ,0.70,0.30,1.0000,3,7.5654,0.0000,0.3000
ARQ,0.80,0.30,1.0000,3,7.5190,0.0000,0.3000
ARQ,0.90,0.30,1.0000,3,7.4834,0.0000,0.3000
