policy,alpha,es,energy,deadline_d,mean_aaoi,std_aaoi,tx_rate
ARQ,0.60,0.60,1.0000,0,7.5536,0.0000,0.6000
ARQ,0.60,0.60,1.0000,1,7.5120,0.0000,0.6000
ARQ,0.60,0.60,1.0000,2,7.4974,0.0000,0.6000
ARQ,0.60,0.60,1.0000,3,7.4923,0.0000,0.6000
ARQ,0.60,0.60,1.0000,4,7.4905,0.0000,0.5377
ARQ,0.60,0.60,1.0000,5,7.4899,0.0000,0.6000
