policy,alpha,es,energy,deadline_d,mean_aaoi,std_aaoi,tx_rate
TTRQ,0.10,0.30,1.0000,3,9.7229,0.0144,0.1678
TTRQ,0.20,0.30,1.0000,3,7.2912,0.0146,0.2901
TTRQ,0.30,0.30,1.0000,3,6.1789,0.0140,0.3133
TTRQ,0.40,0.30,1.0000,3,5.8483,0.0672,0.2914
TTRQ,0.50,0.30,1.0000,3,5.5759,0.0398,0.3095
TTRQ,0.60,0.30,1.0000,3,5.5645,0.1507,0.3014
TTRQ,0.70,0.30,1.0000,3,5.4495,0.0878,0.3030
TTRQ,0.80,0.30,1.0000,3,5.4409,0.0550,0.2968
TTRQ,0.90,0.30,1.0000,3,5.3261,0.1380,0.3083
