policy,alpha,es,energy,deadline_d,mean_aaoi,std_aaoi,tx_rate
OPT,0.60,0.60,1.0000,0,7.5536,0.0000,0.6000
OPT,0.60,0.60,1.0000,1,6.0451,0.0000,0.6000
OPT,0.60,0.60,1.0000,2,4.7881,0.0000,0.6000
OPT,0.60,0.60,1.0000,3,4.7733,0.0000,0.6000
OPT,0.60,0.60,1.0000,4,4.7671,0.0000,0.6000
OPT,0.60,0.60,1.0000,5,4.7648,0.0000,0.6000
