policy,es,alpha,energy,deadline_d,mean_aaoi,std_aaoi,tx_rate
TTRQ,0.10,0.30,1.0000,3,7.2013,0.1543,0.1710
TTRQ,0.20,0.30,1.0000,3,6.6036,0.0368,0.2210
TTRQ,0.30,0.30,1.0000,3,6.1789,0.0140,0.3133
TTRQ,0.40,0.30,1.0000,3,6.0988,0.0208,0.3905
TTRQ,0.50,0.30,1.0000,3,6.0667,0.0037,0.4379
TTRQ,0.60,0.30,1.0000,3,6.0696,0.0051,0.4388
TTRQ,0.70,0.30,1.0000,3,6.0724,0.0089,0.4289
TTRQ,0.80,0.30,1.0000,3,6.0724,0.0109,0.4303
TTRQ,0.90,0.30,1.0000,3,6.0747,0.0167,0.4297
