policy,es,alpha,energy,deadline_d,mean_aaoi,std_aaoi,tx_rate
ARQ,0.10,0.60,1.0000,3,8.5646,0.0000,0.1000
ARQ,0.20,0.60,1.0000,3,7.8203,0.0000,0.2000
ARQ,0.30,0.60,1.0000,3,7.6285,0.0000,0.3000
ARQ,0.40,0.60,1.0000,3,7.5029,0.0000,0.4000
ARQ,0.50,0.60,1.0000,3,7.4923,0.0000,0.5000
ARQ,0.60,0.60,1.0000,3,7.4923,0.0000,0.6000
ARQ,0.70,0.60,1.0000,3,7.4923,0.0000,0.7000
ARQ,0.80,0.60,1.0000,3,7.4923,0.0000,0.7114
ARQ,0.90,0.60,1.0000,3,7.4923,0.0000,0.7114
