policy,es,alpha,energy,deadline_d,mean_aaoi,std_aaoi,tx_rate
OPT,0.10,0.60,1.0000,3,8.1434,0.0000,0.1000
OPT,0.20,0.60,1.0000,3,6.2431,0.0000,0.2000
OPT,0.30,0.60,1.0000,3,5.4486,0.0000,0.3000
OPT,0.40,0.60,1.0000,3,5.0582,0.0000,0.4000
OPT,0.50,0.60,1.0000,3,4.8786,0.0000,0.5000
OPT,0.60,0.60,1.0000,3,4.7733,0.0000,0.6000
OPT,0.70,0.60,1.0000,3,4.7158,0.0000,0.7000
OPT,0.80,0.60,1.0000,3,4.7057,0.0000,0.8000
OPT,0.90,0.60,1.0000,3,4.7057,0.0000,0.8001
